Original Sentence,Processed Sentence
a man practicing karate moves in the air .,A man practicing Karate moves.
a man standing in a bar with a neon beer sign hanging on the wall,skip_because_no_change
a man stands next to three video game machines and a beer sign .,The man stood.
a man stands next to a bank of computer gambling machines .,The man stood.
a man is standing by a group of video games in a bar .,The man stood.
a man stands next to three video machines .,The man stood.
closeup of man with glasses blowing a bubble gum bubble in a dimly lit room with a faint ceiling light in the background .,A man in glasses blowing bubbles of bubble gum gets close up.
a balding man with glasses is blowing a bubble gum bubble in a dimly lit room .,A bald man with glasses blows a bubble gum bubble.
a man wearing glasses is blowing a bubble out of bubble gum in a house .,A man in glasses blew bubbles out of bubble gum.
a white male wearing glasses is blowing a bubble in a house .,A white male in glasses blew a bubble.
a man in glasses is blowing a bubble with bubble gum .,skip_because_no_change
"a mac laptop , open , on top of a blue chair in a room with a group of people sitting in a semicircle around it .","a href=""http://www.youtube.com/watch?v=gbbgdbg"">Mac laptop - Open/a>"
a group of people in business casual clothes sitting on blue chairs arranged in a circle around a laptop .,A group of people in business casual clothes sat.
"group of people sitting in a circle , with a laptop in the middle",A group of people sat with a laptop.
people sitting in a circle with a book in the middle .,Sitting with a book.
group counseling session listening to computer .,skip_because_no_change
a small boy smiles as he stands with others wearing the same black hats .,skip_because_no_change
the boys are all wearing the same baseball hats .,skip_because_no_change
children sporting their florida dolphin caps .,skip_because_no_change
a boys baseball team wear their uniforms .,skip_because_no_change
three boys wearing florida marlins hats .,skip_because_no_change
a family coming back from shopping and a gentlemen is reading his newspaper to the side of the street .,The family came back to shop and the gentleman read their newspaper.
three men and two women walk down an outdoor hallway past a man sitting on a step reading a newspaper .,Three men and two women walked past a man sitting reading a newspaper.
an old man is sitting on a stoop while people walk towards him with groceries .,The old man was sitting on the walking stick with groceries.
an old man is reading the paper despite crushing feelings of loneliness .,skip_because_no_change
a group of people walks home carrying plastic shopping bags .,A group of people walked with plastic shopping bags.
"two soccer players , one wearing a white uniform and the other in red , try to reach the soccer ball first .",skip_because_no_change
"a soccer player in a red uniform goes after the ball , fending off a player in white .",skip_because_no_change
"two soccer players , one in red , the other in white , racing towards a soccer ball .",skip_because_no_change
two male soccer players on opposing teams are trying to get the soccer ball .,skip_because_no_change
two football players chase after a the ball .,skip_because_no_change
a man in a white shirt with hot pads on is holding a tray with a variety of breads with a wooden fence behind him .,skip_because_no_change
"a young guy , probably in his early twenties , shows off his culinary skills with pride .",skip_because_no_change
a blond man shows off his freshly baked bread with a wide smile .,skip_because_no_change
a teenage boy stands in a backyard holding a tray of bread .,skip_because_no_change
a man shows what he has baked .,skip_because_no_change
"a young boy , wearing shorts and a red tank top , is sliding down a mountain of snow , riding a board on his belly .",skip_because_no_change
one young boy sliding down a sandy hill on his stomach .,skip_because_no_change
a boy in a red shirt sledding down a sand dune .,skip_because_no_change
a child is sliding down a hill on a sled .,skip_because_no_change
a boy sledding down a sand hill .,skip_because_no_change
"a man with a determined look on his face holds a small wooden hammer while wearing a bib displaying a large red crab , another red crustacean held in his hand while another man sits and holds some food behind him .","A man in a bib displaying a large red crab held a small wood hammer, looking determined."
a man wearing a bib with a red crab on it is trying to decide if he wants to eat a boiled crab .,skip_because_no_change
a mixed sex group wear lobster bibs and wield mallets as they dine on crab at a restaurant .,"During crab dining, mixed sex groups wore lobster bibs and wielded mallets."
